drug_a,drug_b,severity,description,raw_text
Unknown,Lithium,moderate,"Lithium toxicity has been reported in patients receiving lithium concomitantly with drugs which cause elimination of sodium, including ACE inhibitors. Lithium toxicity was usually reversible upon discontinuation of lithium and the ACE inhibitor. It is recommended that serum lithium levels be monitored frequently if lisinopril is administered concomitantly with lithium","Drug Interactions Hypotension - Patients on Diuretic Therapy: Patients on diuretics and especially those in whom diuretic therapy was recently instituted, may occasionally experience an excessive reduction of blood pressure after initiation of therapy with lisinopril. The possibility of hypotensive effects with lisinopril can be minimized by either discontinuing the diuretic or increasing the salt intake prior to initiation of treatment with lisinopril. If it is necessary to continue the diureti"
Unknown,Gold,unknown,"Nitritoid reactions (symptoms include facial flushing, nausea, vomiting and hypotension) have been reported rarely in patients on therapy with injectable gold (sodium aurothiomalate) and concomitant ACE inhibitor therapy including lisinopril","Drug Interactions Hypotension - Patients on Diuretic Therapy: Patients on diuretics and especially those in whom diuretic therapy was recently instituted, may occasionally experience an excessive reduction of blood pressure after initiation of therapy with lisinopril. The possibility of hypotensive effects with lisinopril can be minimized by either discontinuing the diuretic or increasing the salt intake prior to initiation of treatment with lisinopril. If it is necessary to continue the diureti"
ANASTROZOLE,DRUG INTERACTIONS Tamoxifen,unknown,"Do not use in combination with anastrozole. No additional benefit seen over tamoxifen monotherapy ( 7.1 , 14","7 DRUG INTERACTIONS Tamoxifen: Do not use in combination with anastrozole. No additional benefit seen over tamoxifen monotherapy ( 7.1 , 14.1 ). Estrogen-containing products: Combination use may diminish activity of anastrozole ( 7.2 ). 7.1 Tamoxifen Co-administration of anastrozole and tamoxifen in breast cancer patients reduced anastrozole plasma concentration by 27%. However, the co-administration of anastrozole and tamoxifen did not affect the pharmacokinetics of tamoxifen or N-desmethyltamo"
ANASTROZOLE,containing products,unknown,Combination use may diminish activity of anastrozole ( 7.2 ). 7,"7 DRUG INTERACTIONS Tamoxifen: Do not use in combination with anastrozole. No additional benefit seen over tamoxifen monotherapy ( 7.1 , 14.1 ). Estrogen-containing products: Combination use may diminish activity of anastrozole ( 7.2 ). 7.1 Tamoxifen Co-administration of anastrozole and tamoxifen in breast cancer patients reduced anastrozole plasma concentration by 27%. However, the co-administration of anastrozole and tamoxifen did not affect the pharmacokinetics of tamoxifen or N-desmethyltamo"
Unknown,DRUG INTERACTIONS Probenecid,moderate,May increase penciclovir levels. Monitor for evidence of penciclovir toxicity ( 7.2 ) 7,"7 DRUG INTERACTIONS Probenecid: May increase penciclovir levels. Monitor for evidence of penciclovir toxicity ( 7.2 ) 7.1 Potential for famciclovir to Affect Other Drugs The steady-state pharmacokinetics of digoxin were not altered by concomitant administration of multiple doses of famciclovir (500 mg three times daily). No clinically significant effect on the pharmacokinetics of zidovudine, its metabolite zidovudine glucuronide, or emtricitabine was observed following a single oral dose of 500 "
PHENYTOIN SODIUM,rocuronium and vecuronium,moderate,"resistance to the neuromuscular blocking action of the nondepolarizing neuromuscular blocking agents has occurred in patients chronically administered phenytoin. Whether or not phenytoin has the same effect on other non-depolarizing agents is unknown. Prevention or Management : Patients should be monitored closely for more rapid recovery from neuromuscular blockade than expected, and infusion rate requirements may be higher",7 DRUG INTERACTIONS Phenytoin is extensively bound to plasma proteins and is prone to competitive displacement. Phenytoin is primarily metabolized by hepatic cytochrome P450 enzymes CYP2C9 and to a lesser extent by CYP2C19 and is particularly susceptible to inhibitory drug interactions because it is subject to saturable metabolism. Inhibition of metabolism may produce significant increases in circulating phenytoin concentrations and enhance the risk of drug toxicity. Monitoring of phenytoin seru
PHENYTOIN SODIUM,saquinavir Fosamprenavir,unknown,"phenytoin when given with fosamprenavir alone may decrease the concentration of amprenavir, the active metabolite. Phenytoin when given with the combination of fosamprenavir and ritonavir may increase the concentration of amprenavir Calcium channel blockers Nifedipine, nimodipine, nisoldipine, verapamil Other Albendazole (decreases active metabolite), chlorpropamide, clozapine, cyclosporine, digoxin, disopyramide, folic acid, methadone, mexiletine, praziquantel, quetiapine a The effect of phenytoin on phenobarbital, valproic acid and sodium valproate serum levels is unpredictable 7.3 Drug/Laboratory Test Interactions Care should be taken when using immunoanalytical methods to measure serum phenytoin concentrations following fosphenytoin administration",7 DRUG INTERACTIONS Phenytoin is extensively bound to plasma proteins and is prone to competitive displacement. Phenytoin is primarily metabolized by hepatic cytochrome P450 enzymes CYP2C9 and to a lesser extent by CYP2C19 and is particularly susceptible to inhibitory drug interactions because it is subject to saturable metabolism. Inhibition of metabolism may produce significant increases in circulating phenytoin concentrations and enhance the risk of drug toxicity. Monitoring of phenytoin seru
Unknown,Drug Interactions,unknown,"Dual Blockade of the Renin-Angiotensin System (RAS) Dual blockade of the RAS with angiotensin receptor blockers, ACE inhibitors, or aliskiren is associated with increased risks of hypotension, hyperkalemia, and changes in renal function (including acute renal failure) compared to monotherapy. Most patients receiving the combination of two RAS inhibitors do not obtain any additional benefit compared to monotherapy. In general, avoid combined use of RAS inhibitors","Drug Interactions : Dual Blockade of the Renin-Angiotensin System (RAS) Dual blockade of the RAS with angiotensin receptor blockers, ACE inhibitors, or aliskiren is associated with increased risks of hypotension, hyperkalemia, and changes in renal function (including acute renal failure) compared to monotherapy. Most patients receiving the combination of two RAS inhibitors do not obtain any additional benefit compared to monotherapy. In general, avoid combined use of RAS inhibitors. Closely moni"
Unknown,Patients on Diuretic Therapy,major,"Patients on diuretics and especially those in whom diuretic therapy was recently instituted, as well as those on severe dietary salt restriction or dialysis, may occasionally experience a precipitous reduction of blood pressure usually within the first hour after receiving the initial dose of captopril. The possibility of hypotensive effects with captopril can be minimized by either discontinuing the diuretic or increasing the salt intake approximately one week prior to initiation of treatment with captopril tablets or initiating therapy with small doses (6.25 or 12","Drug Interactions : Dual Blockade of the Renin-Angiotensin System (RAS) Dual blockade of the RAS with angiotensin receptor blockers, ACE inhibitors, or aliskiren is associated with increased risks of hypotension, hyperkalemia, and changes in renal function (including acute renal failure) compared to monotherapy. Most patients receiving the combination of two RAS inhibitors do not obtain any additional benefit compared to monotherapy. In general, avoid combined use of RAS inhibitors. Closely moni"
Unknown,Agents Having Vasodilator Activity,unknown,"Data on the effect of concomitant use of other vasodilators in patients receiving captopril tablets for heart failure are not available; therefore, nitroglycerin or other nitrates (as used for management of angina) or other drugs having vasodilator activity should, if possible, be discontinued before starting captopril tablets. If resumed during captopril tablets therapy, such agents should be administered cautiously, and perhaps at lower dosage. Agents Causing Renin Release : Captopril’s effect will be augmented by antihypertensive agents that cause renin release","Drug Interactions : Dual Blockade of the Renin-Angiotensin System (RAS) Dual blockade of the RAS with angiotensin receptor blockers, ACE inhibitors, or aliskiren is associated with increased risks of hypotension, hyperkalemia, and changes in renal function (including acute renal failure) compared to monotherapy. Most patients receiving the combination of two RAS inhibitors do not obtain any additional benefit compared to monotherapy. In general, avoid combined use of RAS inhibitors. Closely moni"
Unknown,Agents Affecting Sympathetic Activity,unknown,"The sympathetic nervous system may be especially important in supporting blood pressure in patients receiving captopril alone or with diuretics. Therefore, agents affecting sympathetic activity (e.g","Drug Interactions : Dual Blockade of the Renin-Angiotensin System (RAS) Dual blockade of the RAS with angiotensin receptor blockers, ACE inhibitors, or aliskiren is associated with increased risks of hypotension, hyperkalemia, and changes in renal function (including acute renal failure) compared to monotherapy. Most patients receiving the combination of two RAS inhibitors do not obtain any additional benefit compared to monotherapy. In general, avoid combined use of RAS inhibitors. Closely moni"
Unknown,Agents Increasing Serum Potassium,major,"Since captopril decreases aldosterone production, elevation of serum potassium may occur. Potassium-sparing diuretics such as spironolactone, triamterene, or amiloride, or potassium supplements should be given only for documented hypokalemia, and then with caution, since they may lead to a significant increase of serum potassium. Salt substitutes containing potassium should also be used with caution","Drug Interactions : Dual Blockade of the Renin-Angiotensin System (RAS) Dual blockade of the RAS with angiotensin receptor blockers, ACE inhibitors, or aliskiren is associated with increased risks of hypotension, hyperkalemia, and changes in renal function (including acute renal failure) compared to monotherapy. Most patients receiving the combination of two RAS inhibitors do not obtain any additional benefit compared to monotherapy. In general, avoid combined use of RAS inhibitors. Closely moni"
Unknown,Lithium,moderate,"Increased serum lithium levels and symptoms of lithium toxicity have been reported in patients receiving concomitant lithium and ACE inhibitor therapy. These drugs should be coadministered with caution and frequent monitoring of serum lithium levels is recommended. If a diuretic is also used, it may increase the risk of lithium toxicity","Drug Interactions : Dual Blockade of the Renin-Angiotensin System (RAS) Dual blockade of the RAS with angiotensin receptor blockers, ACE inhibitors, or aliskiren is associated with increased risks of hypotension, hyperkalemia, and changes in renal function (including acute renal failure) compared to monotherapy. Most patients receiving the combination of two RAS inhibitors do not obtain any additional benefit compared to monotherapy. In general, avoid combined use of RAS inhibitors. Closely moni"
Unknown,Cardiac Glycosides,major,In a study of young healthy male subjects no evidence of a direct pharmacokinetic captopril-digoxin interaction could be found. Loop Diuretics : Furosemide administered concurrently with captopril does not alter the pharmacokinetics of captopril in renally impaired hypertensive patients. Allopurinol: In a study of healthy male volunteers no significant pharmacokinetic interaction occurred when captopril and allopurinol were administered concomitantly for 6 days,"Drug Interactions : Dual Blockade of the Renin-Angiotensin System (RAS) Dual blockade of the RAS with angiotensin receptor blockers, ACE inhibitors, or aliskiren is associated with increased risks of hypotension, hyperkalemia, and changes in renal function (including acute renal failure) compared to monotherapy. Most patients receiving the combination of two RAS inhibitors do not obtain any additional benefit compared to monotherapy. In general, avoid combined use of RAS inhibitors. Closely moni"
